,name,id,CNTRY,TYPE,lat,lon
0,Zacatecas,MX-ZAC,Mexico,State,23.266402728925556,-102.70883077576353
1,Yucatán,MX-YUC,Mexico,State,20.77975487977361,-88.92723715445902
2,Veracruz,MX-VER,Mexico,State,19.351888556476144,-96.37801777863045
3,Tlaxcala,MX-TLA,Mexico,State,19.452612666908163,-98.08348338266966
4,Tamaulipas,MX-TAM,Mexico,State,24.30077862687684,-98.67450829679198
5,Tabasco,MX-TAB,Mexico,State,17.932353054789374,-92.61872938850136
6,Sonora,MX-SON,Mexico,State,29.68374802236036,-110.76155513945164
7,Sinaloa,MX-SIN,Mexico,State,24.992580402339748,-107.49172630518635
8,San Luis Potosí,MX-SLP,Mexico,State,22.6058425512418,-100.45159987496879
9,Quintana Roo,MX-ROO,Mexico,State,19.670401478884255,-88.11847769340048
10,Querétaro,MX-QUE,Mexico,State,20.840913424948265,-99.87768129146389
11,Puebla,MX-PUE,Mexico,State,19.037534846475076,-97.81614027891499
12,Oaxaca,MX-OAX,Mexico,State,16.95564409608874,-96.43862211932218
13,Nuevo León,MX-NLE,Mexico,State,25.580238040610887,-99.99713330501811
14,Nayarit,MX-NAY,Mexico,State,21.781655927057972,-104.85595821150758
15,Morelos,MX-MOR,Mexico,State,18.732624499901622,-99.0070329859701
16,Michoacán,MX-MIC,Mexico,State,19.199878786050032,-101.88463025759944
17,México,MX-MEX,Mexico,State,19.340460141551407,-99.62728632931811
18,Jalisco,MX-JAL,Mexico,State,20.55774279333335,-103.62772686449061
19,Hidalgo,MX-HID,Mexico,State,20.483368232533508,-98.85774013982842
20,Guerrero,MX-GRO,Mexico,State,17.66576725695185,-99.87870800507986
21,Guanajuato,MX-GUA,Mexico,State,20.898353550791654,-101.0371986051402
22,Durango,MX-DUR,Mexico,State,24.90190597292436,-104.98553597994648
23,Ciudad de México,MX-CMX,Mexico,Federal District,19.237818997766087,-99.08759136627413
24,Colima,MX-COL,Mexico,State,19.140851537503874,-103.92173393311947
25,Coahuila,MX-COA,Mexico,State,27.285353569253445,-102.09652052099382
26,Chihuahua,MX-CHH,Mexico,State,28.818303774649284,-106.45407999394746
27,Chiapas,MX-CHP,Mexico,State,16.49079861742077,-92.47573128635311
28,Campeche,MX-CAM,Mexico,State,18.82907518347244,-90.30736084222919
29,Baja California Sur,MX-BCS,Mexico,State,25.877732444933205,-112.02640171208616
30,Baja California,MX-BCN,Mexico,State,30.520855238496132,-115.07942912914432
31,Aguascalientes,MX-AGU,Mexico,State,21.97757291961334,-102.38394612242296
